phase_from,phase_to,year,amount
District heating,Heating and cooling - homes,2024,64.1840
Electricity grid,Over generation / exports,2024,190.4530
Electricity grid,Heating and cooling - homes,2024,116.7260
Electricity grid,H2 conversion,2024,98.1400
Electricity grid,Industry,2024,414.1650
Electricity grid,Road transport,2024,114.7970
Electricity grid,Agriculture,2024,100.4120
Electricity grid,Heating and cooling - commercial,2024,93.8580
Electricity grid,Losses,2024,86.6910
Electricity grid,Rail transport,2024,41.8630
Electricity grid,Lighting & appliances - commercial,2024,93.0080
Electricity grid,Lighting & appliances - homes,2024,162.4940
Gas imports,Ngas,2024,77.7190
Gas reserves,Ngas,2024,88.2330
Gas,Heating and cooling - commercial,2024,31.1290
Gas,Losses,2024,34.4010
Gas,Thermal generation,2024,210.8910
Gas,Agriculture,2024,39.0960
Gas,Industry,2024,78.5800
Geothermal,Electricity grid,2024,45.0130
H2 conversion,H2,2024,24.8970
H2 conversion,Losses,2024,98.2420
H2,Road transport,2024,70.8970
Hydro,Electricity grid,2024,51.9950
Liquid,Industry,2024,206.0660
Liquid,International shipping,2024,128.6900
Liquid,Road transport,2024,208.8350
Liquid,Domestic aviation,2024,72.4580
Liquid,International aviation,2024,277.2670
Liquid,Agriculture,2024,78.6400
Liquid,National navigation,2024,80.2180
Liquid,Rail transport,2024,85.4130
Marine algae,Bio-conversion,2024,23.3750
Ngas,Gas,2024,188.9520
Nuclear,Thermal generation,2024,904.9780
Oil imports,Oil,2024,586.2870
Oil reserves,Oil,2024,165.7030
Oil,Liquid,2024,677.9900
Other waste,Solid,2024,128.5870
Other waste,Bio-conversion,2024,95.8100
Pumped heat,Heating and cooling - homes,2024,230.0260
Pumped heat,Heating and cooling - commercial,2024,151.6720
Solar PV,Electricity grid,2024,82.9010
Solar Thermal,Heating and cooling - homes,2024,95.2630
Solar,Solar Thermal,2024,32.2630
Solar,Solar PV,2024,135.9010
Solid,Agriculture,2024,23.8820
Solid,Thermal generation,2024,442.1200
Solid,Industry,2024,142.4770
Thermal generation,Electricity grid,2024,561.5310
Thermal generation,Losses,2024,814.1290
Thermal generation,District heating,2024,136.3290
Tidal,Electricity grid,2024,95.4520
UK land based bioenergy,Bio-conversion,2024,203.0100
Wave,Electricity grid,2024,41.0130
Wind,Electricity grid,2024,375.3660
Agricultural 'waste',Bio-conversion,2025,167.7290
Bio-conversion,Liquid,2025,16.5970
Bio-conversion,Losses,2025,89.8620
Bio-conversion,Solid,2025,349.3220
Bio-conversion,Gas,2025,118.1440
Biofuel imports,Liquid,2025,68.0000
Biomass imports,Solid,2025,63.0000
Coal imports,Coal,2025,75.6060
Coal reserves,Coal,2025,146.9650
Coal,Solid,2025,154.5710
District heating,Industry,2025,86.6390
District heating,Heating and cooling - commercial,2025,46.5050
District heating,Heating and cooling - homes,2025,123.1840
Electricity grid,Over generation / exports,2025,194.4530
Electricity grid,Heating and cooling - homes,2025,203.7260
Electricity grid,H2 conversion,2025,54.1400
Electricity grid,Industry,2025,424.1650
Electricity grid,Road transport,2025,118.7970
Electricity grid,Agriculture,2025,74.4120
Electricity grid,Heating and cooling - commercial,2025,70.8580
Electricity grid,Losses,2025,127.6910
Electricity grid,Rail transport,2025,10.8630
Electricity grid,Lighting & appliances - commercial,2025,90.0080
Electricity grid,Lighting & appliances - homes,2025,127.4940
Gas imports,Ngas,2025,128.7190
Gas reserves,Ngas,2025,158.2330
Gas,Heating and cooling - commercial,2025,79.1290
Gas,Losses,2025,65.4010
Gas,Thermal generation,2025,183.8910
Gas,Agriculture,2025,74.0960
Gas,Industry,2025,133.5800
Geothermal,Electricity grid,2025,78.0130
H2 conversion,H2,2025,37.8970
H2 conversion,Losses,2025,89.2420
H2,Road transport,2025,69.8970
Hydro,Electricity grid,2025,89.9950
Liquid,Industry,2025,158.0660
Liquid,International shipping,2025,190.6900
Liquid,Road transport,2025,202.8350
Liquid,Domestic aviation,2025,26.4580
Liquid,International aviation,2025,241.2670
Liquid,Agriculture,2025,58.6400
Liquid,National navigation,2025,130.2180
Liquid,Rail transport,2025,19.4130
Marine algae,Bio-conversion,2025,6.3750
Ngas,Gas,2025,170.9520
Nuclear,Thermal generation,2025,911.9780
Oil imports,Oil,2025,552.2870
Oil reserves,Oil,2025,122.7030
Oil,Liquid,2025,707.9900
Other waste,Solid,2025,133.5870
Other waste,Bio-conversion,2025,118.8100
Pumped heat,Heating and cooling - homes,2025,194.0260
Pumped heat,Heating and cooling - commercial,2025,73.6720
Solar PV,Electricity grid,2025,123.9010
Solar Thermal,Heating and cooling - homes,2025,98.2630
Solar,Solar Thermal,2025,111.2630
Solar,Solar PV,2025,94.9010
Solid,Agriculture,2025,46.8820
Solid,Thermal generation,2025,436.1200
Solid,Industry,2025,76.4770
Thermal generation,Electricity grid,2025,548.5310
Thermal generation,Losses,2025,795.1290
Thermal generation,District heating,2025,131.3290
Tidal,Electricity grid,2025,33.4520
UK land based bioenergy,Bio-conversion,2025,242.0100
Wave,Electricity grid,2025,76.0130
Wind,Electricity grid,2025,365.3660
Agricultural 'waste',Bio-conversion,2026,161.7290
Bio-conversion,Liquid,2026,12.5970
Bio-conversion,Losses,2026,26.8620
Bio-conversion,Solid,2026,302.3220
Bio-conversion,Gas,2026,114.1440
Biofuel imports,Liquid,2026,90.0000
Biomass imports,Solid,2026,87.0000
Coal imports,Coal,2026,66.6060
Coal reserves,Coal,2026,70.9650
Coal,Solid,2026,103.5710
District heating,Industry,2026,69.6390
District heating,Heating and cooling - commercial,2026,74.5050
District heating,Heating and cooling - homes,2026,87.1840
Electricity grid,Over generation / exports,2026,129.4530
Electricity grid,Heating and cooling - homes,2026,173.7260
Electricity grid,H2 conversion,2026,77.1400
Electricity grid,Industry,2026,378.1650
Electricity grid,Road transport,2026,39.7970
Electricity grid,Agriculture,2026,90.4120
Electricity grid,Heating and cooling - commercial,2026,133.8580
Electricity grid,Losses,2026,101.6910
Electricity grid,Rail transport,2026,100.8630
Electricity grid,Lighting & appliances - commercial,2026,177.0080
Electricity grid,Lighting & appliances - homes,2026,160.4940
Gas imports,Ngas,2026,112.7190
Gas reserves,Ngas,2026,127.2330
Gas,Heating and cooling - commercial,2026,78.1290
Gas,Losses,2026,47.4010
Gas,Thermal generation,2026,180.8910
Gas,Agriculture,2026,90.0960
Gas,Industry,2026,71.5800
Geothermal,Electricity grid,2026,70.0130
H2 conversion,H2,2026,79.8970
H2 conversion,Losses,2026,80.2420
H2,Road transport,2026,35.8970
Hydro,Electricity grid,2026,17.9950
Liquid,Industry,2026,176.0660
Liquid,International shipping,2026,138.6900
Liquid,Road transport,2026,179.8350
Liquid,Domestic aviation,2026,33.4580
Liquid,International aviation,2026,274.2670
Liquid,Agriculture,2026,25.6400
Liquid,National navigation,2026,116.2180
Liquid,Rail transport,2026,74.4130
Marine algae,Bio-conversion,2026,101.3750
Ngas,Gas,2026,220.9520
Nuclear,Thermal generation,2026,869.9780
Oil imports,Oil,2026,539.2870
Oil reserves,Oil,2026,167.7030
Oil,Liquid,2026,633.9900
Other waste,Solid,2026,137.5870
Other waste,Bio-conversion,2026,125.8100
Pumped heat,Heating and cooling - homes,2026,221.0260
Pumped heat,Heating and cooling - commercial,2026,118.6720
Solar PV,Electricity grid,2026,61.9010
Solar Thermal,Heating and cooling - homes,2026,107.2630
Solar,Solar Thermal,2026,72.2630
Solar,Solar PV,2026,92.9010
Solid,Agriculture,2026,32.8820
Solid,Thermal generation,2026,488.1200
Solid,Industry,2026,141.4770
Thermal generation,Electricity grid,2026,614.5310
Thermal generation,Losses,2026,833.1290
Thermal generation,District heating,2026,124.3290
Tidal,Electricity grid,2026,33.4520
UK land based bioenergy,Bio-conversion,2026,241.0100
Wave,Electricity grid,2026,56.0130
Wind,Electricity grid,2026,338.3660
Agricultural 'waste',Bio-conversion,2027,190.7290
Bio-conversion,Liquid,2027,13.5970
Bio-conversion,Losses,2027,70.8620
Bio-conversion,Solid,2027,290.3220
Bio-conversion,Gas,2027,149.1440
Biofuel imports,Liquid,2027,48.0000
Biomass imports,Solid,2027,120.0000
Coal imports,Coal,2027,108.6060
Coal reserves,Coal,2027,146.9650
Coal,Solid,2027,85.5710
District heating,Industry,2027,66.6390
District heating,Heating and cooling - commercial,2027,35.5050
District heating,Heating and cooling - homes,2027,120.1840
Electricity grid,Over generation / exports,2027,191.4530
Electricity grid,Heating and cooling - homes,2027,187.7260
Electricity grid,H2 conversion,2027,109.1400
Electricity grid,Industry,2027,365.1650
Electricity grid,Road transport,2027,54.7970
Electricity grid,Agriculture,2027,82.4120
Electricity grid,Heating and cooling - commercial,2027,49.8580
Electricity grid,Losses,2027,71.6910
Electricity grid,Rail transport,2027,36.8630
Electricity grid,Lighting & appliances - commercial,2027,150.0080
Electricity grid,Lighting & appliances - homes,2027,180.4940
Gas imports,Ngas,2027,71.7190
Gas reserves,Ngas,2027,140.2330
Gas,Heating and cooling - commercial,2027,53.1290
Gas,Losses,2027,23.4010
Gas,Thermal generation,2027,186.8910
Gas,Agriculture,2027,89.0960
Gas,Industry,2027,57.5800
Geothermal,Electricity grid,2027,77.0130
H2 conversion,H2,2027,60.8970
H2 conversion,Losses,2027,57.2420
H2,Road transport,2027,53.8970
Hydro,Electricity grid,2027,69.9950
Liquid,Industry,2027,125.0660
Liquid,International shipping,2027,166.6900
Liquid,Road transport,2027,181.8350
Liquid,Domestic aviation,2027,106.4580
Liquid,International aviation,2027,218.2670
Liquid,Agriculture,2027,23.6400
Liquid,National navigation,2027,85.2180
Liquid,Rail transport,2027,75.4130
Marine algae,Bio-conversion,2027,6.3750
Ngas,Gas,2027,125.9520
Nuclear,Thermal generation,2027,900.9780
Oil imports,Oil,2027,569.2870
Oil reserves,Oil,2027,156.7030
Oil,Liquid,2027,663.9900
Other waste,Solid,2027,73.5870
Other waste,Bio-conversion,2027,175.8100
Pumped heat,Heating and cooling - homes,2027,207.0260
Pumped heat,Heating and cooling - commercial,2027,149.6720
Solar PV,Electricity grid,2027,91.9010
Solar Thermal,Heating and cooling - homes,2027,66.2630
Solar,Solar Thermal,2027,113.2630
Solar,Solar PV,2027,81.9010
Solid,Agriculture,2027,78.8820
Solid,Thermal generation,2027,451.1200
Solid,Industry,2027,93.4770
Thermal generation,Electricity grid,2027,530.5310
Thermal generation,Losses,2027,848.1290
Thermal generation,District heating,2027,161.3290
Tidal,Electricity grid,2027,25.4520
UK land based bioenergy,Bio-conversion,2027,217.0100
Wave,Electricity grid,2027,30.0130
Wind,Electricity grid,2027,313.3660
Agricultural 'waste',Bio-conversion,2028,214.7290
Bio-conversion,Liquid,2028,49.5970
Bio-conversion,Losses,2028,87.8620
Bio-conversion,Solid,2028,286.3220
Bio-conversion,Gas,2028,134.1440
Biofuel imports,Liquid,2028,110.0000
Biomass imports,Solid,2028,105.0000
Coal imports,Coal,2028,88.6060
Coal reserves,Coal,2028,156.9650
Coal,Solid,2028,126.5710
District heating,Industry,2028,71.6390
District heating,Heating and cooling - commercial,2028,31.5050
District heating,Heating and cooling - homes,2028,58.1840
Electricity grid,Over generation / exports,2028,161.4530
Electricity grid,Heating and cooling - homes,2028,171.7260
Electricity grid,H2 conversion,2028,35.1400
Electricity grid,Industry,2028,397.1650
Electricity grid,Road transport,2028,43.7970
Electricity grid,Agriculture,2028,35.4120
Electricity grid,Heating and cooling - commercial,2028,136.8580
Electricity grid,Losses,2028,146.6910
Electricity grid,Rail transport,2028,100.8630
Electricity grid,Lighting & appliances - commercial,2028,129.0080
Electricity grid,Lighting & appliances - homes,2028,148.4940
Gas imports,Ngas,2028,79.7190
Gas reserves,Ngas,2028,99.2330
Gas,Heating and cooling - commercial,2028,4.1290
Gas,Losses,2028,98.4010
Gas,Thermal generation,2028,197.8910
Gas,Agriculture,2028,82.0960
Gas,Industry,2028,65.5800
Geothermal,Electricity grid,2028,10.0130
H2 conversion,H2,2028,32.8970
H2 conversion,Losses,2028,83.2420
H2,Road transport,2028,94.8970
Hydro,Electricity grid,2028,77.9950
Liquid,Industry,2028,215.0660
Liquid,International shipping,2028,171.6900
Liquid,Road transport,2028,197.8350
Liquid,Domestic aviation,2028,91.4580
Liquid,International aviation,2028,260.2670
Liquid,Agriculture,2028,59.6400
Liquid,National navigation,2028,49.2180
Liquid,Rail transport,2028,100.4130
Marine algae,Bio-conversion,2028,17.3750
Ngas,Gas,2028,135.9520
Nuclear,Thermal generation,2028,930.9780
Oil imports,Oil,2028,560.2870
Oil reserves,Oil,2028,126.7030
Oil,Liquid,2028,700.9900
Other waste,Solid,2028,88.5870
Other waste,Bio-conversion,2028,147.8100
Pumped heat,Heating and cooling - homes,2028,195.0260
Pumped heat,Heating and cooling - commercial,2028,144.6720
Solar PV,Electricity grid,2028,83.9010
Solar Thermal,Heating and cooling - homes,2028,69.2630
Solar,Solar Thermal,2028,53.2630
Solar,Solar PV,2028,111.9010
Solid,Agriculture,2028,69.8820
Solid,Thermal generation,2028,497.1200
Solid,Industry,2028,144.4770
Thermal generation,Electricity grid,2028,612.5310
Thermal generation,Losses,2028,883.1290
Thermal generation,District heating,2028,117.3290
Tidal,Electricity grid,2028,23.4520
UK land based bioenergy,Bio-conversion,2028,205.0100
Wave,Electricity grid,2028,80.0130
Wind,Electricity grid,2028,294.3660
Agricultural 'waste',Bio-conversion,2029,142.7290
Bio-conversion,Liquid,2029,53.5970
Bio-conversion,Losses,2029,58.8620
Bio-conversion,Solid,2029,280.3220
Bio-conversion,Gas,2029,98.1440
Biofuel imports,Liquid,2029,88.0000
Biomass imports,Solid,2029,113.0000
Coal imports,Coal,2029,26.6060
Coal reserves,Coal,2029,98.9650
Coal,Solid,2029,124.5710
District heating,Industry,2029,22.6390
District heating,Heating and cooling - commercial,2029,120.5050
District heating,Heating and cooling - homes,2029,119.1840
Electricity grid,Over generation / exports,2029,174.4530
Electricity grid,Heating and cooling - homes,2029,118.7260
Electricity grid,H2 conversion,2029,78.1400
Electricity grid,Industry,2029,423.1650
Electricity grid,Road transport,2029,99.7970
Electricity grid,Agriculture,2029,22.4120
Electricity grid,Heating and cooling - commercial,2029,60.8580
Electricity grid,Losses,2029,91.6910
Electricity grid,Rail transport,2029,26.8630
Electricity grid,Lighting & appliances - commercial,2029,92.0080
Electricity grid,Lighting & appliances - homes,2029,182.4940
Gas imports,Ngas,2029,115.7190
Gas reserves,Ngas,2029,135.2330
Gas,Heating and cooling - commercial,2029,5.1290
Gas,Losses,2029,26.4010
Gas,Thermal generation,2029,157.8910
Gas,Agriculture,2029,99.0960
Gas,Industry,2029,100.5800
Geothermal,Electricity grid,2029,95.0130
H2 conversion,H2,2029,31.8970
H2 conversion,Losses,2029,20.2420
H2,Road transport,2029,59.8970
Hydro,Electricity grid,2029,11.9950
Liquid,Industry,2029,133.0660
Liquid,International shipping,2029,128.6900
Liquid,Road transport,2029,206.8350
Liquid,Domestic aviation,2029,33.4580
Liquid,International aviation,2029,293.2670
Liquid,Agriculture,2029,84.6400
Liquid,National navigation,2029,82.2180
Liquid,Rail transport,2029,59.4130
Marine algae,Bio-conversion,2029,68.3750
Ngas,Gas,2029,154.9520
Nuclear,Thermal generation,2029,938.9780
Oil imports,Oil,2029,598.2870
Oil reserves,Oil,2029,134.7030
Oil,Liquid,2029,660.9900
Other waste,Solid,2029,126.5870
Other waste,Bio-conversion,2029,156.8100
Pumped heat,Heating and cooling - homes,2029,272.0260
Pumped heat,Heating and cooling - commercial,2029,160.6720
Solar PV,Electricity grid,2029,99.9010
Solar Thermal,Heating and cooling - homes,2029,40.2630
Solar,Solar Thermal,2029,52.2630
Solar,Solar PV,2029,82.9010
Solid,Agriculture,2029,29.8820
Solid,Thermal generation,2029,474.1200
Solid,Industry,2029,81.4770
Thermal generation,Electricity grid,2029,604.5310
Thermal generation,Losses,2029,822.1290
Thermal generation,District heating,2029,143.3290
Tidal,Electricity grid,2029,41.4520
UK land based bioenergy,Bio-conversion,2029,280.0100
Wave,Electricity grid,2029,81.0130
Wind,Electricity grid,2029,378.3660
Agricultural 'waste',Bio-conversion,2030,144.7290
Bio-conversion,Liquid,2030,14.5970
Bio-conversion,Losses,2030,63.8620
Bio-conversion,Solid,2030,304.3220
Bio-conversion,Gas,2030,84.1440
Biofuel imports,Liquid,2030,96.0000
Biomass imports,Solid,2030,73.0000
Coal imports,Coal,2030,43.6060
Coal reserves,Coal,2030,65.9650
Coal,Solid,2030,90.5710
District heating,Industry,2030,55.6390
District heating,Heating and cooling - commercial,2030,101.5050
District heating,Heating and cooling - homes,2030,137.1840
Electricity grid,Over generation / exports,2030,178.4530
Electricity grid,Heating and cooling - homes,2030,151.7260
Electricity grid,H2 conversion,2030,118.1400
Electricity grid,Industry,2030,435.1650
Electricity grid,Road transport,2030,125.7970
Electricity grid,Agriculture,2030,55.4120
Electricity grid,Heating and cooling - commercial,2030,124.8580
Electricity grid,Losses,2030,89.6910
Electricity grid,Rail transport,2030,104.8630
Electricity grid,Lighting & appliances - commercial,2030,134.0080
Electricity grid,Lighting & appliances - homes,2030,128.4940
Gas imports,Ngas,2030,116.7190
Gas reserves,Ngas,2030,106.2330
Gas,Heating and cooling - commercial,2030,12.1290
Gas,Losses,2030,54.4010
Gas,Thermal generation,2030,160.8910
Gas,Agriculture,2030,88.0960
Gas,Industry,2030,95.5800
Geothermal,Electricity grid,2030,10.0130
H2 conversion,H2,2030,59.8970
H2 conversion,Losses,2030,44.2420
H2,Road transport,2030,55.8970
Hydro,Electricity grid,2030,28.9950
Liquid,Industry,2030,195.0660
Liquid,International shipping,2030,160.6900
Liquid,Road transport,2030,219.8350
Liquid,Domestic aviation,2030,101.4580
Liquid,International aviation,2030,228.2670
Liquid,Agriculture,2030,102.6400
Liquid,National navigation,2030,103.2180
Liquid,Rail transport,2030,4.4130
Marine algae,Bio-conversion,2030,60.3750
Ngas,Gas,2030,153.9520
Nuclear,Thermal generation,2030,919.9780
Oil imports,Oil,2030,589.2870
Oil reserves,Oil,2030,111.7030
Oil,Liquid,2030,625.9900
Other waste,Solid,2030,79.5870
Other waste,Bio-conversion,2030,115.8100
Pumped heat,Heating and cooling - homes,2030,221.0260
Pumped heat,Heating and cooling - commercial,2030,92.6720
Solar PV,Electricity grid,2030,108.9010
Solar Thermal,Heating and cooling - homes,2030,80.2630
Solar,Solar Thermal,2030,91.2630
Solar,Solar PV,2030,69.9010
Solid,Agriculture,2030,2.8820
Solid,Thermal generation,2030,430.1200
Solid,Industry,2030,134.4770
Thermal generation,Electricity grid,2030,590.5310
Thermal generation,Losses,2030,822.1290
Thermal generation,District heating,2030,111.3290
Tidal,Electricity grid,2030,20.4520
UK land based bioenergy,Bio-conversion,2030,229.0100
Wave,Electricity grid,2030,84.0130
Wind,Electricity grid,2030,325.3660
Agricultural 'waste',Bio-conversion,2031,165.7290
Bio-conversion,Liquid,2031,58.5970
Bio-conversion,Losses,2031,55.8620
Bio-conversion,Solid,2031,284.3220
Bio-conversion,Gas,2031,113.1440
Biofuel imports,Liquid,2031,39.0000
Biomass imports,Solid,2031,130.0000
Coal imports,Coal,2031,32.6060
Coal reserves,Coal,2031,129.9650
Coal,Solid,2031,91.5710
District heating,Industry,2031,31.6390
District heating,Heating and cooling - commercial,2031,87.5050
District heating,Heating and cooling - homes,2031,54.1840
Electricity grid,Over generation / exports,2031,164.4530
Electricity grid,Heating and cooling - homes,2031,189.7260
Electricity grid,H2 conversion,2031,64.1400
Electricity grid,Industry,2031,406.1650
Electricity grid,Road transport,2031,132.7970
Electricity grid,Agriculture,2031,15.4120
Electricity grid,Heating and cooling - commercial,2031,103.8580
Electricity grid,Losses,2031,58.6910
Electricity grid,Rail transport,2031,34.8630
Electricity grid,Lighting & appliances - commercial,2031,175.0080
Electricity grid,Lighting & appliances - homes,2031,125.4940
Gas imports,Ngas,2031,45.7190
Gas reserves,Ngas,2031,105.2330
Gas,Heating and cooling - commercial,2031,94.1290
Gas,Losses,2031,88.4010
Gas,Thermal generation,2031,214.8910
Gas,Agriculture,2031,90.0960
Gas,Industry,2031,141.5800
Geothermal,Electricity grid,2031,55.0130
H2 conversion,H2,2031,44.8970
H2 conversion,Losses,2031,82.2420
H2,Road transport,2031,30.8970
Hydro,Electricity grid,2031,22.9950
Liquid,Industry,2031,172.0660
Liquid,International shipping,2031,183.6900
Liquid,Road transport,2031,212.8350
Liquid,Domestic aviation,2031,98.4580
Liquid,International aviation,2031,287.2670
Liquid,Agriculture,2031,59.6400
Liquid,National navigation,2031,59.2180
Liquid,Rail transport,2031,23.4130
Marine algae,Bio-conversion,2031,98.3750
Ngas,Gas,2031,134.9520
Nuclear,Thermal generation,2031,882.9780
Oil imports,Oil,2031,576.2870
Oil reserves,Oil,2031,116.7030
Oil,Liquid,2031,627.9900
Other waste,Solid,2031,92.5870
Other waste,Bio-conversion,2031,166.8100
Pumped heat,Heating and cooling - homes,2031,247.0260
Pumped heat,Heating and cooling - commercial,2031,106.6720
Solar PV,Electricity grid,2031,93.9010
Solar Thermal,Heating and cooling - homes,2031,60.2630
Solar,Solar Thermal,2031,29.2630
Solar,Solar PV,2031,151.9010
Solid,Agriculture,2031,21.8820
Solid,Thermal generation,2031,455.1200
Solid,Industry,2031,85.4770
Thermal generation,Electricity grid,2031,547.5310
Thermal generation,Losses,2031,862.1290
Thermal generation,District heating,2031,141.3290
Tidal,Electricity grid,2031,73.4520
UK land based bioenergy,Bio-conversion,2031,229.0100
Wave,Electricity grid,2031,100.0130
Wind,Electricity grid,2031,386.3660
Agricultural 'waste',Bio-conversion,2032,199.7290
Bio-conversion,Liquid,2032,7.5970
Bio-conversion,Losses,2032,41.8620
Bio-conversion,Solid,2032,285.3220
Bio-conversion,Gas,2032,173.1440
Biofuel imports,Liquid,2032,66.0000
Biomass imports,Solid,2032,114.0000
Coal imports,Coal,2032,45.6060
Coal reserves,Coal,2032,121.9650
Coal,Solid,2032,167.5710
District heating,Industry,2032,85.6390
District heating,Heating and cooling - commercial,2032,27.5050
District heating,Heating and cooling - homes,2032,46.1840
Electricity grid,Over generation / exports,2032,145.4530
Electricity grid,Heating and cooling - homes,2032,166.7260
Electricity grid,H2 conversion,2032,97.1400
Electricity grid,Industry,2032,342.1650
Electricity grid,Road transport,2032,82.7970
Electricity grid,Agriculture,2032,91.4120
Electricity grid,Heating and cooling - commercial,2032,115.8580
Electricity grid,Losses,2032,146.6910
Electricity grid,Rail transport,2032,90.8630
Electricity grid,Lighting & appliances - commercial,2032,164.0080
Electricity grid,Lighting & appliances - homes,2032,192.4940
Gas imports,Ngas,2032,123.7190
Gas reserves,Ngas,2032,89.2330
Gas,Heating and cooling - commercial,2032,45.1290
Gas,Losses,2032,50.4010
Gas,Thermal generation,2032,172.8910
Gas,Agriculture,2032,5.0960
Gas,Industry,2032,102.5800
Geothermal,Electricity grid,2032,7.0130
H2 conversion,H2,2032,100.8970
H2 conversion,Losses,2032,95.2420
H2,Road transport,2032,69.8970
Hydro,Electricity grid,2032,6.9950
Liquid,Industry,2032,121.0660
Liquid,International shipping,2032,192.6900
Liquid,Road transport,2032,152.8350
Liquid,Domestic aviation,2032,30.4580
Liquid,International aviation,2032,276.2670
Liquid,Agriculture,2032,9.6400
Liquid,National navigation,2032,110.2180
Liquid,Rail transport,2032,18.4130
Marine algae,Bio-conversion,2032,31.3750
Ngas,Gas,2032,170.9520
Nuclear,Thermal generation,2032,923.9780
Oil imports,Oil,2032,586.2870
Oil reserves,Oil,2032,142.7030
Oil,Liquid,2032,655.9900
Other waste,Solid,2032,105.5870
Other waste,Bio-conversion,2032,91.8100
Pumped heat,Heating and cooling - homes,2032,252.0260
Pumped heat,Heating and cooling - commercial,2032,76.6720
Solar PV,Electricity grid,2032,152.9010
Solar Thermal,Heating and cooling - homes,2032,22.2630
Solar,Solar Thermal,2032,84.2630
Solar,Solar PV,2032,146.9010
Solid,Agriculture,2032,20.8820
Solid,Thermal generation,2032,471.1200
Solid,Industry,2032,59.4770
Thermal generation,Electricity grid,2032,600.5310
Thermal generation,Losses,2032,855.1290
Thermal generation,District heating,2032,154.3290
Tidal,Electricity grid,2032,105.4520
UK land based bioenergy,Bio-conversion,2032,247.0100
Wave,Electricity grid,2032,102.0130
Wind,Electricity grid,2032,372.3660
Agricultural 'waste',Bio-conversion,2033,138.7290
Bio-conversion,Liquid,2033,13.5970
Bio-conversion,Losses,2033,68.8620
Bio-conversion,Solid,2033,378.3220
Bio-conversion,Gas,2033,124.1440
Biofuel imports,Liquid,2033,55.0000
Biomass imports,Solid,2033,131.0000
Coal imports,Coal,2033,67.6060
Coal reserves,Coal,2033,127.9650
Coal,Solid,2033,162.5710
District heating,Industry,2033,69.6390
District heating,Heating and cooling - commercial,2033,63.5050
District heating,Heating and cooling - homes,2033,56.1840
Electricity grid,Over generation / exports,2033,116.4530
Electricity grid,Heating and cooling - homes,2033,180.7260
Electricity grid,H2 conversion,2033,114.1400
Electricity grid,Industry,2033,398.1650
Electricity grid,Road transport,2033,110.7970
Electricity grid,Agriculture,2033,96.4120
Electricity grid,Heating and cooling - commercial,2033,120.8580
Electricity grid,Losses,2033,99.6910
Electricity grid,Rail transport,2033,40.8630
Electricity grid,Lighting & appliances - commercial,2033,95.0080
Electricity grid,Lighting & appliances - homes,2033,161.4940
Gas imports,Ngas,2033,75.7190
Gas reserves,Ngas,2033,107.2330
Gas,Heating and cooling - commercial,2033,7.1290
Gas,Losses,2033,88.4010
Gas,Thermal generation,2033,241.8910
Gas,Agriculture,2033,44.0960
Gas,Industry,2033,61.5800
Geothermal,Electricity grid,2033,86.0130
H2 conversion,H2,2033,45.8970
H2 conversion,Losses,2033,46.2420
H2,Road transport,2033,34.8970
Hydro,Electricity grid,2033,7.9950
Liquid,Industry,2033,208.0660
Liquid,International shipping,2033,164.6900
Liquid,Road transport,2033,180.8350
Liquid,Domestic aviation,2033,51.4580
Liquid,International aviation,2033,292.2670
Liquid,Agriculture,2033,38.6400
Liquid,National navigation,2033,108.2180
Liquid,Rail transport,2033,67.4130
Marine algae,Bio-conversion,2033,22.3750
Ngas,Gas,2033,139.9520
Nuclear,Thermal generation,2033,926.9780
Oil imports,Oil,2033,595.2870
Oil reserves,Oil,2033,196.7030
Oil,Liquid,2033,681.9900
Other waste,Solid,2033,64.5870
Other waste,Bio-conversion,2033,163.8100
Pumped heat,Heating and cooling - homes,2033,225.0260
Pumped heat,Heating and cooling - commercial,2033,93.6720
Solar PV,Electricity grid,2033,121.9010
Solar Thermal,Heating and cooling - homes,2033,38.2630
Solar,Solar Thermal,2033,100.2630
Solar,Solar PV,2033,122.9010
Solid,Agriculture,2033,59.8820
Solid,Thermal generation,2033,432.1200
Solid,Industry,2033,72.4770
Thermal generation,Electricity grid,2033,548.5310
Thermal generation,Losses,2033,870.1290
Thermal generation,District heating,2033,176.3290
Tidal,Electricity grid,2033,22.4520
UK land based bioenergy,Bio-conversion,2033,198.0100
Wave,Electricity grid,2033,75.0130
Wind,Electricity grid,2033,322.3660
Agricultural 'waste',Bio-conversion,2034,166.7290
Bio-conversion,Liquid,2034,70.5970
Bio-conversion,Losses,2034,33.8620
Bio-conversion,Solid,2034,373.3220
Bio-conversion,Gas,2034,135.1440
Biofuel imports,Liquid,2034,82.0000
Biomass imports,Solid,2034,125.0000
Coal imports,Coal,2034,68.6060
Coal reserves,Coal,2034,114.9650
Coal,Solid,2034,140.5710
District heating,Industry,2034,109.6390
District heating,Heating and cooling - commercial,2034,97.5050
District heating,Heating and cooling - homes,2034,97.1840
Electricity grid,Over generation / exports,2034,188.4530
Electricity grid,Heating and cooling - homes,2034,175.7260
Electricity grid,H2 conversion,2034,125.1400
Electricity grid,Industry,2034,361.1650
Electricity grid,Road transport,2034,100.7970
Electricity grid,Agriculture,2034,43.4120
Electricity grid,Heating and cooling - commercial,2034,92.8580
Electricity grid,Losses,2034,68.6910
