concept,concept_type,source_url,version,updated,name_short,name,name_catalog,description,unit,tags,color,format,scales,domain,indicator_url,drill_up
ndisasd_rate,measure,http://gapm.io/dnatdisasters,v5,February 11 2022,Natural disasters death rate per million people per year,natural disasters deaths rate per million people,,"This is the number of deaths from all natural disasters per million people, (including epedemics)",deaths,disasters,,,,,,
ndisasd_noep_rate,measure,http://gapm.io/dnatdisasters,v5,February 11 2022,"Natural disasters death rate, excluding epidemics per million people per year","natural disasters death rate, excluding epidemics per million people",,"This is the number of deaths from all natural disasters , per million people. (excluding epidemics)",deaths,disasters,,,,,,
npl,measure,http://gapm.io/dnpl,v1,February 4 2020,National Poverty line,"National Poverty line, PPP (2011 US$  per day)",,This is the minimum level of income deemed adequate in a particular country. It is converted to international dollars using purchasing power parity rate and is expressed in per capita terms  per day,US $ 2011,inequality,,,,,,
geo,entity_domain,,,,,Geographic location,,,,_none,,,,,,
name_long,string,,,,,Name Long,,,,_none,,,,,,
country,entity_set,,,,,Country,,,,categorizations,,,,geo,,"[""world_6region"", ""income_groups"", ""landlocked"", ""g77_and_oecd_countries"", ""main_religion_2008"", ""world_4region"", ""unicef_region"", ""un_sdg_ldc"", ""un_sdg_region""]"
world_4region,entity_set,,,,,World Regions,,,,categorizations,"{""shades"": {""fill3"": 2, ""print_stroke"": 5, ""print_fill"": 4, ""fill2"": 1, ""shade"": 3, ""fill1"": 0}, ""palette"": {""americas"": [""#7feb00"", ""#5de200"", ""#81f201"", ""#00b900"", ""#b5ea32"", ""#008d36""], ""europe"": [""#ffe700"", ""#fbdd00"", ""#fff400"", ""#fbaf09"", ""#ffe700"", ""#b17f4a""], ""africa"": [""#00d5e9"", ""#00c8ec"", ""#00e1ec"", ""#0098df"", ""#77dff7"", ""#0586c6""], ""asia"": [""#ff5872"", ""#ff5178"", ""#ff658a"", ""#da0025"", ""#fa4e73"", ""#b2043a""], ""_default"": [""#ffb600"", ""#ffaa14"", ""#ffc500"", ""#fb6d19"", ""#ffb600"", ""#9b4838""]}, ""selectable"": false}",,,geo,https://docs.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdHlocWJBM1Uyd1ZPeHduU3c4WGplMEE,
world_6region,entity_set,,,,,World Regions (6 colors),,,,categorizations,"{""palette"": {""east_asia_pacific"": ""#f03838"", ""sub_saharan_africa"": ""#4e7af0"", ""south_asia"": ""#35d1d1"", ""europe_central_asia"": ""#f49d37"", ""middle_east_north_africa"": ""#5be56b"", ""america"": ""#ebcc21""}, ""selectable"": false}",,,geo,https://docs.google.com/spreadsheet/pub?key=phT4mwjvEuGBtdf1ZeO7_PQ,
un_sdg_region,entity_set,,,,,UN SDG Regions,,,,categorizations,"{""palette"": {""un_sub_saharan_africa"":""#e11484"",""un_northern_africa_and_western_asia"":""#f99d26"",""un_central_and_southern_asia"":""#f36d25"",""un_eastern_and_south_eastern_asia"":""#279b48"",""un_oceania_exc_australia_and_new_zealand"":""#8f1838"",""un_latin_america_and_the_caribbean"":""#00aed9"",""un_australia_and_new_zealand"":""#eb1c2d"",""un_europe_and_northern_america"":""#02558b""}, ""selectable"": true}",,,geo,https://unstats.un.org/sdgs/indicators/regional-groups,
g77_and_oecd_countries,entity_set,,,,,G77 and OECD countries,,,,categorizations,"{""palette"": {""others"": ""#f05656"", ""oecd"": ""#71c44c"", ""g77"": ""#7487ef""}}",,,geo,https://docs.google.com/spreadsheet/pub?key=tVI_UCwI1enCk4p61fWxUig,
global,entity_set,,,,,World,,,,_none,,,,geo,,
income_groups,entity_set,,,,,Income groups,,,,categorizations,"{""palette"": {""upper_middle_income"": ""#a7cb7d"", ""lower_middle_income"": ""#7ea1d1"", ""high_income"": ""#7bc135"", ""low_income"": ""#4366f4""}}",,,geo,https://docs.google.com/spreadsheet/pub?key=phT4mwjvEuGCSmAe5aq7HKw,
landlocked,entity_set,,,,,Landlocked,,,,categorizations,"{""palette"": {""landlocked"": ""#f05656"", ""coastline"": ""#7487ef""}}",,,geo,https://docs.google.com/spreadsheet/pub?key=rBwKBodk7Y08pGiA4OAfzUA,
un_sdg_ldc,entity_set,,,,,UN SDG Least Developed Countries,,,,categorizations,"{""palette"": {""un_least_developed"": ""#dc2339"", ""un_not_least_developed"": ""#23DCC6""}}",,,geo,https://unstats.un.org/sdgs/indicators/regional-groups,
main_religion_2008,entity_set,,,,,Main religion 2008,,,,categorizations,"{""palette"": {""muslim"": ""#71c44c"", ""christian"": ""#7487ef"", ""eastern_religions"": ""#f05656""}, ""selectable"": false}",,,geo,https://docs.google.com/spreadsheet/pub?key=0ArtujvvFrPjVdHUzTGVicFJZQ1NjaFhqelV5SDNxMVE,
unicef_region,entity_set,,,,,UNICEF regions,,,,categorizations,"{""palette"": {""sa"": ""#961a49"", ""eca"": ""#ffc20e"", ""mena"": ""#374ea2"", ""ssa"": ""#6a1e74"", ""lac"": ""#f26a21"", ""eap"": ""#e2231a"", ""na"": ""#00833d""}}",,,geo,https://docs.google.com/spreadsheets/d/1POAjAhMgUjv6Mt_FSVSgzAr7c6oUvzinpQPvhfmOuuU,
tag,entity_domain,,,,,Tag,,,,_none,,,,,,
iso3166_1_alpha2,string,,,,,ISO 3166-1 alpha-2,,,,_none,,,,,http://www.iso.org/iso/home/standards/country_codes.htm,
iso3166_1_alpha3,string,,,,,ISO 3166-1 alpha-3,,,,_none,,,,,http://www.iso.org/iso/home/standards/country_codes.htm,
iso3166_1_numeric,string,,,,,ISO 3166-1 numeric,,,,_none,,,,,http://www.iso.org/iso/home/standards/country_codes.htm,
iso3166_2,string,,,,,ISO 3166-2,,,,_none,,,,,https://en.wikipedia.org/wiki/ISO_3166-2,
unicode_region_subtag,string,,,,,Unicode CLDR Region subtag,,,,_none,,,,,http://www.unicode.org/reports/tr35/#unicode_region_subtag_validity,
latitude,measure,,,,,Latitude,,,degrees,_none,,,"[""linear""]",,,
longitude,measure,,,,,Longitude,,,degrees,_none,,,"[""linear""]",,,
rank,measure,,,,,Ranking order,,,,_none,,,,,,
topojson,string,,,,,TopoJSON,,,,_none,,,,,,
shape_lores_svg,string,,,,,SVG shape of geographic area,, low resolution,,_none,,,,,,
parent,string,,,,,Parent,,,,_none,,,,,,
un_state,boolean,,,,,UN member states and permanent observers,,,,_none,,,,,https://www.un.org/en/member-states/index.html,
income_3groups,entity_set,,,,,Income Groups (3 levels),,,,categorizations,,,,geo,,
unhcr_region,entity_set,,,,,UNHCR Regions,,,,categorizations,,,,geo,,
west_and_rest,entity_set,,,,,West and Rest,,,,categorizations,,,,geo,,
time,time,,,,,Time,,,,,,,,,,
version,string,,,,,Version,,,,,,,,,,
updated,string,,,,,Updated,,,,,,,,,,
name,string,,,,,Name,,,,_none,,,,,,
name_short,string,,,,,Name Short,,,,_none,,,,,,
name_catalog,string,,,,,Name Catalog,,,,_none,,,,,,
description,string,,,,,Description,,,,_none,,,,,,
domain,string,,,,,Domain,,,,_none,,,,,,
source_url,string,,,,,Source url,,,,_none,,,,,,
indicator_url,string,,,,,Indicator url,,,,_none,,,,,,
drill_up,string,,,,,drill ups,,,,_none,,,,,,
unit,string,,,,,Unit,,,,_none,,,,,,
format,string,,,,,Format,,value formatter settings: add 'format' concept property to your measures then use 'percent' to add % sign or 'share' to multiply x100 and add a % sign,,_none,,,,,,
tags,string,,,,,Tags,,,,_none,,,,,,
scales,string,,,,,Scales,,,,_none,,,,,,
color,string,,,,,Color,,,,_none,,,,,,
